Resumen de cuenta
Nro. de Cta.:,527000001803
Fecha desde:,01/12/2025
Fecha hasta:,28/01/2026

Fecha,Código concepto,Concepto,Débito,Crédito,Saldo,CUIT Transferencia
05/12/2025,200,DB INMEDIATO  -  321247,"$ -20.000,00",,"$ 25.431.055,70",
05/12/2025,200,DB INMEDIATO  -  321248,"$ -100.000,00",,"$ 25.331.055,70",
05/12/2025,200,DB INMEDIATO  -  321515,"$ -25.000,00",,"$ 25.306.055,70",
05/12/2025,200,DB INMEDIATO  -  321516,"$ -50.000,00",,"$ 25.256.055,70",
05/12/2025,200,DB INMEDIATO  -  321520,"$ -20.000,00",,"$ 25.236.055,70",
05/12/2025,200,DB INMEDIATO  -  321521,"$ -40.000,00",,"$ 25.196.055,70",
05/12/2025,200,DB INMEDIATO  -  321523,"$ -160.000,00",,"$ 25.036.055,70",
05/12/2025,200,DB INMEDIATO  -  321959,"$ -20.000,00",,"$ 25.016.055,70",
05/12/2025,200,DB INMEDIATO  -  321960,"$ -25.000,00",,"$ 24.991.055,70",
05/12/2025,200,DB INMEDIATO  -  323392,"$ -100.000,00",,"$ 24.891.055,70",
05/12/2025,200,DB INMEDIATO  -  323393,"$ -80.000,00",,"$ 24.811.055,70",
05/12/2025,200,DB INMEDIATO  -  323394,"$ -36.000,00",,"$ 24.775.055,70",
05/12/2025,200,DB INMEDIATO  -  323395,"$ -70.000,00",,"$ 24.705.055,70",
05/12/2025,200,DB INMEDIATO  -  323396,"$ -36.000,00",,"$ 24.669.055,70",
05/12/2025,200,DB INMEDIATO  -  323397,"$ -10.000,00",,"$ 24.659.055,70",
05/12/2025,200,DB INMEDIATO  -  323398,"$ -25.000,00",,"$ 24.634.055,70",
05/12/2025,200,DB INMEDIATO  -  323399,"$ -400.000,00",,"$ 24.234.055,70",
05/12/2025,200,DB INMEDIATO  -  323400,"$ -40.000,00",,"$ 24.194.055,70",
05/12/2025,200,DB INMEDIATO  -  323573,"$ -40.000,00",,"$ 24.154.055,70",
05/12/2025,200,DB INMEDIATO  -  323574,"$ -25.000,00",,"$ 24.129.055,70",
05/12/2025,200,DB INMEDIATO  -  324034,"$ -50.000,00",,"$ 24.079.055,70",
05/12/2025,200,DB INMEDIATO  -  324617,"$ -65.000,00",,"$ 24.014.055,70",
05/12/2025,200,DB INMEDIATO  -  324618,"$ -61.000,00",,"$ 23.953.055,70",
05/12/2025,200,DB INMEDIATO  -  325229,"$ -24.000,00",,"$ 23.929.055,70",
05/12/2025,200,DB INMEDIATO  -  325546,"$ -20.000,00",,"$ 23.909.055,70",
05/12/2025,200,DB INMEDIATO  -  325639,"$ -95.100,00",,"$ 23.813.955,70",
05/12/2025,200,DB INMEDIATO  -  325824,"$ -10.000,00",,"$ 23.803.955,70",
05/12/2025,200,DB INMEDIATO  -  326445,"$ -10.000,00",,"$ 23.793.955,70",
05/12/2025,200,DB INMEDIATO  -  326618,"$ -70.000,00",,"$ 23.723.955,70",
05/12/2025,200,DB INMEDIATO  -  326620,"$ -40.000,00",,"$ 23.683.955,70",
05/12/2025,200,DB INMEDIATO  -  326622,"$ -25.000,00",,"$ 23.658.955,70",
05/12/2025,200,DB INMEDIATO  -  328353,"$ -20.000,00",,"$ 23.638.955,70",
05/12/2025,200,DB INMEDIATO  -  329373,"$ -15.000,00",,"$ 23.623.955,70",
05/12/2025,200,DB INMEDIATO  -  329688,"$ -250.000,00",,"$ 23.373.955,70",
05/12/2025,109,TR SFE INT TERCERO  -  461577,"$ -20.000,00",,"$ 23.353.955,70",
05/12/2025,21,IVA GRAL  -  632085,"$ -56,44",,"$ 23.353.899,26",
05/12/2025,109,TR SFE INT TERCERO  -  632085,"$ -333.130,00",,"$ 23.020.769,26",
05/12/2025,163,COMTRSITE  -  632085,"$ -268,75",,"$ 23.020.500,51",
05/12/2025,21,IVA GRAL  -  48062327,"$ -63,00",,"$ 23.020.437,51",
05/12/2025,110,TR SFE EXT TERCERO  -  48062327,"$ -814.266,66",,"$ 22.206.170,85",
05/12/2025,163,COMTRSITE  -  48062327,"$ -300,00",,"$ 22.205.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48062586,"$ -118.000,00",,"$ 22.087.870,85",
05/12/2025,36,TR SFE EXT PROPIAS  -  48063254,"$ -5.000,00",,"$ 22.082.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48063309,"$ -30.000,00",,"$ 22.052.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48064513,"$ -20.000,00",,"$ 22.032.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48064591,"$ -12.000,00",,"$ 22.020.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48064656,"$ -25.000,00",,"$ 21.995.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48064691,"$ -15.000,00",,"$ 21.980.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48064839,"$ -15.000,00",,"$ 21.965.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48064861,"$ -20.000,00",,"$ 21.945.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48064901,"$ -15.000,00",,"$ 21.930.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48064946,"$ -75.000,00",,"$ 21.855.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48065147,"$ -40.000,00",,"$ 21.815.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48090049,"$ -40.000,00",,"$ 21.775.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48090050,"$ -75.000,00",,"$ 21.700.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48090333,"$ -25.000,00",,"$ 21.675.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48090465,"$ -50.000,00",,"$ 21.625.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48090479,"$ -45.000,00",,"$ 21.580.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48101299,"$ -20.000,00",,"$ 21.560.870,85",
05/12/2025,110,TR SFE EXT TERCERO  -  48109693,"$ -50.000,00",,"$ 21.510.870,85",
05/12/2025,1,CHPAGADOR  -  90262785,"$ -4.000.000,00",,"$ 17.510.870,85",
05/12/2025,99,DB-SERVICIO DE PAGO  -  94889729,"$ -16.395.722,94",,"$ 1.115.147,91",
09/12/2025,353,CR-COOPARTICIP ASSAL  -  225,,"$ 24.000,00","$ 1.139.147,91",
09/12/2025,364,COPARTICIPACION  -  5234,,"$ 47.577,05","$ 1.186.724,96",
09/12/2025,364,COPARTICIPACION  -  5234,,"$ 592.087,40","$ 1.778.812,36",
09/12/2025,251,DEPEFECT  -  172313,,"$ 1.200.000,00","$ 2.978.812,36",
09/12/2025,103,COBERTURAS DE FONDOS  -  141047,"$ -990.139,39",,"$ 1.988.672,97",
09/12/2025,200,DB INMEDIATO  -  328094,"$ -113.200,00",,"$ 1.875.472,97",
09/12/2025,200,DB INMEDIATO  -  329240,"$ -30.000,00",,"$ 1.845.472,97",
09/12/2025,110,TR SFE EXT TERCERO  -  48303588,"$ -6.000,00",,"$ 1.839.472,97",
10/12/2025,364,COPARTICIPACION  -  5235,,"$ 46.842,80","$ 1.886.315,77",
10/12/2025,364,COPARTICIPACION  -  5235,,"$ 117.431,76","$ 2.003.747,53",
10/12/2025,410,TRANSF CTALINK  -  674728,,"$ 40.000,00","$ 2.043.747,53",
10/12/2025,2,CHPROPIO  -  90262784,"$ -980.000,00",,"$ 1.063.747,53",
11/12/2025,364,COPARTICIPACION  -  5236,,"$ 45.584,77","$ 1.109.332,30",
11/12/2025,364,COPARTICIPACION  -  5236,,"$ 47.570,89","$ 1.156.903,19",
11/12/2025,365,COPFEDERAL  -  95349685,,"$ 19.315.751,02","$ 20.472.654,21",
11/12/2025,21,IVA GRAL  -  59232,"$ -91,88",,"$ 20.472.562,33",
11/12/2025,109,TR SFE INT TERCERO  -  59232,"$ -2.939.308,71",,"$ 17.533.253,62",
11/12/2025,163,COMTRSITE  -  59232,"$ -437,50",,"$ 17.532.816,12",
11/12/2025,200,DB INMEDIATO  -  336387,"$ -111.670,00",,"$ 17.421.146,12",
11/12/2025,200,DB INMEDIATO  -  336765,"$ -150.000,00",,"$ 17.271.146,12",
11/12/2025,21,IVA GRAL  -  339120,"$ -56,44",,"$ 17.271.089,68",
11/12/2025,109,TR SFE INT TERCERO  -  339120,"$ -374.900,00",,"$ 16.896.189,68",
11/12/2025,163,COMTRSITE  -  339120,"$ -268,75",,"$ 16.895.920,93",
11/12/2025,200,DB INMEDIATO  -  339986,"$ -35.900,00",,"$ 16.860.020,93",
11/12/2025,200,DB INMEDIATO  -  339987,"$ -106.600,00",,"$ 16.753.420,93",
11/12/2025,200,DB INMEDIATO  -  340327,"$ -18.000,00",,"$ 16.735.420,93",
11/12/2025,109,TR SFE INT TERCERO  -  398269,"$ -134.100,00",,"$ 16.601.320,93",
11/12/2025,21,IVA GRAL  -  600414,"$ -56,44",,"$ 16.601.264,49",
11/12/2025,109,TR SFE INT TERCERO  -  600414,"$ -471.261,00",,"$ 16.130.003,49",
11/12/2025,163,COMTRSITE  -  600414,"$ -268,75",,"$ 16.129.734,74",
11/12/2025,21,IVA GRAL  -  620804,"$ -56,44",,"$ 16.129.678,30",
11/12/2025,109,TR SFE INT TERCERO  -  620804,"$ -459.750,00",,"$ 15.669.928,30",
11/12/2025,163,COMTRSITE  -  620804,"$ -268,75",,"$ 15.669.659,55",
11/12/2025,21,IVA GRAL  -  901825,"$ -63,00",,"$ 15.669.596,55",
11/12/2025,109,TR SFE INT TERCERO  -  901825,"$ -554.166,00",,"$ 15.115.430,55",
11/12/2025,163,COMTRSITE  -  901825,"$ -300,00",,"$ 15.115.130,55",
11/12/2025,110,TR SFE EXT TERCERO  -  48846376,"$ -6.000,00",,"$ 15.109.130,55",
11/12/2025,21,IVA GRAL  -  48914436,"$ -63,00",,"$ 15.109.067,55",
11/12/2025,110,TR SFE EXT TERCERO  -  48914436,"$ -902.892,00",,"$ 14.206.175,55",
11/12/2025,163,COMTRSITE  -  48914436,"$ -300,00",,"$ 14.205.875,55",
11/12/2025,21,IVA GRAL  -  48914454,"$ -91,88",,"$ 14.205.783,67",
11/12/2025,110,TR SFE EXT TERCERO  -  48914454,"$ -1.870.016,96",,"$ 12.335.766,71",
11/12/2025,163,COMTRSITE  -  48914454,"$ -437,50",,"$ 12.335.329,21",
11/12/2025,21,IVA GRAL  -  48914488,"$ -63,00",,"$ 12.335.266,21",
11/12/2025,110,TR SFE EXT TERCERO  -  48914488,"$ -950.000,00",,"$ 11.385.266,21",
11/12/2025,163,COMTRSITE  -  48914488,"$ -300,00",,"$ 11.384.966,21",
11/12/2025,21,IVA GRAL  -  48914513,"$ -56,44",,"$ 11.384.909,77",
11/12/2025,110,TR SFE EXT TERCERO  -  48914513,"$ -455.700,00",,"$ 10.929.209,77",
11/12/2025,163,COMTRSITE  -  48914513,"$ -268,75",,"$ 10.928.941,02",
11/12/2025,110,TR SFE EXT TERCERO  -  48914540,"$ -165.000,00",,"$ 10.763.941,02",
11/12/2025,21,IVA GRAL  -  48914557,"$ -56,44",,"$ 10.763.884,58",
11/12/2025,110,TR SFE EXT TERCERO  -  48914557,"$ -410.000,00",,"$ 10.353.884,58",
11/12/2025,163,COMTRSITE  -  48914557,"$ -268,75",,"$ 10.353.615,83",
11/12/2025,21,IVA GRAL  -  48914588,"$ -63,00",,"$ 10.353.552,83",
11/12/2025,110,TR SFE EXT TERCERO  -  48914588,"$ -1.000.000,00",,"$ 9.353.552,83",
11/12/2025,163,COMTRSITE  -  48914588,"$ -300,00",,"$ 9.353.252,83",
11/12/2025,110,TR SFE EXT TERCERO  -  48914648,"$ -82.600,00",,"$ 9.270.652,83",
11/12/2025,110,TR SFE EXT TERCERO  -  48914692,"$ -50.000,00",,"$ 9.220.652,83",
11/12/2025,1,CHPAGADOR  -  90262786,"$ -4.000.000,00",,"$ 5.220.652,83",
12/12/2025,364,COPARTICIPACION  -  5237,,"$ 90.363,21","$ 5.311.016,04",
12/12/2025,364,COPARTICIPACION  -  5237,,"$ 116.221,53","$ 5.427.237,57",
12/12/2025,410,TRANSF CTALINK  -  205285,,"$ 300.000,00","$ 5.727.237,57",
12/12/2025,409,TRANSAC DEBIN  -  363516,,"$ 500.000,00","$ 6.227.237,57",
12/12/2025,359,ACREDITACION AUTOMAT  -  95530466,,"$ 49.778,45","$ 6.277.016,02",
12/12/2025,359,ACREDITACION AUTOMAT  -  95530830,,"$ 669.029,24","$ 6.946.045,26",
12/12/2025,21,IVA GRAL  -  104332,"$ -63,00",,"$ 6.945.982,26",
12/12/2025,109,TR SFE INT TERCERO  -  104332,"$ -564.734,00",,"$ 6.381.248,26",
12/12/2025,163,COMTRSITE  -  104332,"$ -300,00",,"$ 6.380.948,26",
12/12/2025,103,COBERTURAS DE FONDOS  -  141047,"$ -2.075.241,82",,"$ 4.305.706,44",
12/12/2025,109,TR SFE INT TERCERO  -  298694,"$ -70.000,00",,"$ 4.235.706,44",
12/12/2025,200,DB INMEDIATO  -  336265,"$ -60.000,00",,"$ 4.175.706,44",
12/12/2025,200,DB INMEDIATO  -  336268,"$ -25.000,00",,"$ 4.150.706,44",
12/12/2025,200,DB INMEDIATO  -  336269,"$ -40.000,00",,"$ 4.110.706,44",
12/12/2025,200,DB INMEDIATO  -  336275,"$ -25.000,00",,"$ 4.085.706,44",
12/12/2025,200,DB INMEDIATO  -  336277,"$ -40.000,00",,"$ 4.045.706,44",
12/12/2025,200,DB INMEDIATO  -  336281,"$ -50.000,00",,"$ 3.995.706,44",
12/12/2025,200,DB INMEDIATO  -  336282,"$ -130.000,00",,"$ 3.865.706,44",
12/12/2025,200,DB INMEDIATO  -  336284,"$ -90.000,00",,"$ 3.775.706,44",
12/12/2025,200,DB INMEDIATO  -  337624,"$ -25.000,00",,"$ 3.750.706,44",
12/12/2025,200,DB INMEDIATO  -  341388,"$ -129.000,00",,"$ 3.621.706,44",
12/12/2025,200,DB INMEDIATO  -  341423,"$ -45.000,00",,"$ 3.576.706,44",
12/12/2025,200,DB INMEDIATO  -  341425,"$ -100.000,00",,"$ 3.476.706,44",
12/12/2025,200,DB INMEDIATO  -  341699,"$ -100.000,00",,"$ 3.376.706,44",
12/12/2025,200,DB INMEDIATO  -  341700,"$ -100.000,00",,"$ 3.276.706,44",
12/12/2025,200,DB INMEDIATO  -  341701,"$ -60.000,00",,"$ 3.216.706,44",
12/12/2025,200,DB INMEDIATO  -  341702,"$ -60.000,00",,"$ 3.156.706,44",
12/12/2025,200,DB INMEDIATO  -  341705,"$ -40.000,00",,"$ 3.116.706,44",
12/12/2025,200,DB INMEDIATO  -  341707,"$ -20.000,00",,"$ 3.096.706,44",
12/12/2025,200,DB INMEDIATO  -  342496,"$ -32.000,00",,"$ 3.064.706,44",
12/12/2025,200,DB INMEDIATO  -  342499,"$ -25.000,00",,"$ 3.039.706,44",
12/12/2025,200,DB INMEDIATO  -  342579,"$ -70.000,00",,"$ 2.969.706,44",
12/12/2025,200,DB INMEDIATO  -  342582,"$ -93.930,00",,"$ 2.875.776,44",
12/12/2025,200,DB INMEDIATO  -  344946,"$ -15.000,00",,"$ 2.860.776,44",
12/12/2025,200,DB INMEDIATO  -  344948,"$ -25.000,00",,"$ 2.835.776,44",
12/12/2025,200,DB INMEDIATO  -  345656,"$ -70.000,00",,"$ 2.765.776,44",
12/12/2025,200,DB INMEDIATO  -  346248,"$ -25.000,00",,"$ 2.740.776,44",
12/12/2025,200,DB INMEDIATO  -  346251,"$ -15.000,00",,"$ 2.725.776,44",
12/12/2025,200,DB INMEDIATO  -  346253,"$ -120.000,00",,"$ 2.605.776,44",
12/12/2025,109,TR SFE INT TERCERO  -  755083,"$ -20.000,00",,"$ 2.585.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49130740,"$ -130.000,00",,"$ 2.455.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49130796,"$ -20.000,00",,"$ 2.435.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49131970,"$ -20.000,00",,"$ 2.415.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49132038,"$ -12.000,00",,"$ 2.403.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49132167,"$ -61.000,00",,"$ 2.342.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49132304,"$ -50.000,00",,"$ 2.292.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49132440,"$ -50.000,00",,"$ 2.242.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49132593,"$ -45.000,00",,"$ 2.197.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49132619,"$ -25.000,00",,"$ 2.172.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49133181,"$ -20.000,00",,"$ 2.152.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49133212,"$ -10.000,00",,"$ 2.142.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49133263,"$ -20.000,00",,"$ 2.122.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49133325,"$ -20.000,00",,"$ 2.102.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49133338,"$ -10.000,00",,"$ 2.092.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49133346,"$ -10.000,00",,"$ 2.082.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49133400,"$ -25.000,00",,"$ 2.057.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49208289,"$ -30.000,00",,"$ 2.027.776,44",
12/12/2025,110,TR SFE EXT TERCERO  -  49208325,"$ -50.000,00",,"$ 1.977.776,44",
15/12/2025,364,COPARTICIPACION  -  5238,,"$ 36.570,67","$ 2.014.347,11",
15/12/2025,364,COPARTICIPACION  -  5238,,"$ 213.300,39","$ 2.227.647,50",
15/12/2025,251,DEPEFECT  -  175617,,"$ 2.532.000,00","$ 4.759.647,50",
15/12/2025,103,COBERTURAS DE FONDOS  -  141047,"$ -527.978,05",,"$ 4.231.669,45",
15/12/2025,200,DB INMEDIATO  -  350250,"$ -50.000,00",,"$ 4.181.669,45",
15/12/2025,200,DB INMEDIATO  -  350251,"$ -50.000,00",,"$ 4.131.669,45",
15/12/2025,200,DB INMEDIATO  -  353872,"$ -15.000,00",,"$ 4.116.669,45",
15/12/2025,109,TR SFE INT TERCERO  -  434088,"$ -149.100,00",,"$ 3.967.569,45",
15/12/2025,110,TR SFE EXT TERCERO  -  49463573,"$ -40.000,00",,"$ 3.927.569,45",
15/12/2025,110,TR SFE EXT TERCERO  -  49463593,"$ -50.000,00",,"$ 3.877.569,45",
16/12/2025,364,COPARTICIPACION  -  5239,,"$ 74.894,42","$ 3.952.463,87",
16/12/2025,364,COPARTICIPACION  -  5239,,"$ 141.680,08","$ 4.094.143,95",
16/12/2025,252,DEPCH PROPIO  -  243365,,"$ 250.000,00","$ 4.344.143,95",
16/12/2025,409,TRANSAC DEBIN  -  905683,,"$ 9.000,00","$ 4.353.143,95",
16/12/2025,103,COBERTURAS DE FONDOS  -  141047,"$ -744.607,52",,"$ 3.608.536,43",
16/12/2025,200,DB INMEDIATO  -  357770,"$ -197.280,00",,"$ 3.411.256,43",
16/12/2025,109,TR SFE INT TERCERO  -  462250,"$ -55.000,00",,"$ 3.356.256,43",
16/12/2025,110,TR SFE EXT TERCERO  -  49660650,"$ -95.040,00",,"$ 3.261.216,43",
16/12/2025,110,TR SFE EXT TERCERO  -  49660679,"$ -43.780,00",,"$ 3.217.436,43",
16/12/2025,110,TR SFE EXT TERCERO  -  49660712,"$ -237.000,00",,"$ 2.980.436,43",
16/12/2025,1,CHPAGADOR  -  90262787,"$ -1.000.000,00",,"$ 1.980.436,43",
17/12/2025,353,CR-COOPARTICIP ASSAL  -  225,,"$ 19.999,00","$ 2.000.435,43",
17/12/2025,364,COPARTICIPACION  -  5240,,"$ 67.615,90","$ 2.068.051,33",
17/12/2025,364,COPARTICIPACION  -  5240,,"$ 77.043,54","$ 2.145.094,87",
17/12/2025,251,DEPEFECT  -  177537,,"$ 2.160.000,00","$ 4.305.094,87",
17/12/2025,409,TRANSAC DEBIN  -  238867,,"$ 5.000,00","$ 4.310.094,87",
17/12/2025,103,COBERTURAS DE FONDOS  -  141048,"$ -1.045.241,59",,"$ 3.264.853,28",
17/12/2025,109,TR SFE INT TERCERO  -  655412,"$ -8.352,00",,"$ 3.256.501,28",
17/12/2025,109,TR SFE INT TERCERO  -  868320,"$ -201.074,40",,"$ 3.055.426,88",
18/12/2025,353,CR-COOPARTICIP ASSAL  -  225,,"$ 19.999,00","$ 3.075.425,88",
18/12/2025,364,COPARTICIPACION  -  5241,,"$ 33.965,17","$ 3.109.391,05",
18/12/2025,364,COPARTICIPACION  -  5241,,"$ 55.488,63","$ 3.164.879,68",
18/12/2025,359,ACREDITACION AUTOMAT  -  96241761,,"$ 10.092.361,80","$ 13.257.241,48",
18/12/2025,365,COPFEDERAL  -  96242749,,"$ 8.423.482,06","$ 21.680.723,54",
18/12/2025,365,COPFEDERAL  -  96243754,,"$ 278.295,28","$ 21.959.018,82",
18/12/2025,103,COBERTURAS DE FONDOS  -  141049,"$ -373.163,14",,"$ 21.585.855,68",
18/12/2025,200,DB INMEDIATO  -  358840,"$ -70.000,00",,"$ 21.515.855,68",
18/12/2025,200,DB INMEDIATO  -  359198,"$ -50.000,00",,"$ 21.465.855,68",
18/12/2025,200,DB INMEDIATO  -  364674,"$ -200.000,00",,"$ 21.265.855,68",
18/12/2025,109,TR SFE INT TERCERO  -  659900,"$ -12.000,00",,"$ 21.253.855,68",
